length width ratio,Number of Leaves, Stem height (cm),Angle_of_leaf,Species
15,6,60,45,Neomarica longifolia
10.9,7,80,30,Sorghum halepense
9.3,12,35,60,Pandanus amaryllifolius
21.1,8,59,50,Neomarica longifolia
22.5,9,98,35,Sorghum halepense
12,14,47,55,Pandanus amaryllifolius
20.2,8,60.5,40,Neomarica longifolia
20.7,10,90,25,Sorghum halepense
7.2,20,26,65,Pandanus amaryllifolius
19.7,7,67,45,Neomarica longifolia
14.7,8,90,20,Sorghum halepense
9.3,14,38,60,Pandanus amaryllifolius
21.6,8,69,35,Neomarica longifolia
16.2,10,99,30,Sorghum halepense
8.8,19,28,55,Pandanus amaryllifolius
22.9,8,59.5,40,Neomarica longifolia
16,9,60,25,Sorghum halepense
9.4,17,36,50,Pandanus amaryllifolius
23.1,10,81,45,Neomarica longifolia
18.8,9,98,30,Sorghum halepense
13.3,19,26,65,Pandanus amaryllifolius
30.3,9,88,35,Neomarica longifolia
22,9,95,20,Sorghum halepense
10.6,13,44,60,Pandanus amaryllifolius
26.7,8,80,40,Neomarica longifolia
23.3,9,97,25,Sorghum halepense
9.7,20,40,55,Pandanus amaryllifolius
24.9,8,87,45,Neomarica longifolia
16.7,6,96,30,Sorghum halepense
10,10,35,50,Pandanus amaryllifolius
25.6,8,79.5,35,Neomarica longifolia
16,8,202,25,Sorghum halepense
10.9,18,49,60,Pandanus amaryllifolius
23.5,5,102,40,Neomarica longifolia
15.7,6,90,30,Sorghum halepense
9.6,18,31,55,Pandanus amaryllifolius
39.2,5,94,45,Neomarica longifolia
18,6,98,20,Sorghum halepense
10.7,14,45,50,Pandanus amaryllifolius
48.5,5,97,35,Neomarica longifolia
13.3,8,95,25,Sorghum halepense
10.7,15,40,60,Pandanus amaryllifolius
36.5,5,98.5,40,Neomarica longifolia
14.4,6,78,30,Sorghum halepense
10.6,18,54,55,Pandanus amaryllifolius
33.7,9,80,45,Neomarica longifolia
20,7,89,20,Sorghum halepense
11.7,19,68,50,Pandanus amaryllifolius
36.3,7,86,35,Neomarica longifolia
13.9,5,88,30,Sorghum halepense
10.7,34,42,60,Pandanus amaryllifolius
32.8,78,105,40,Neomarica longifolia
14,10,109,25,Sorghum halepense
11.1,15,60,55,Pandanus amaryllifolius
15.9,6,65,35,Neomarica longifolia
14.5,9,98,20,Sorghum halepense
10,17,44,50,Pandanus amaryllifolius
22.6,9,86,45,Neomarica longifolia
17.6,8,94,30,Sorghum halepense
11.7,19,52,60,Pandanus amaryllifolius
26,5,78,40,Neomarica longifolia
16.7,7,92,25,Sorghum halepense
12.5,16,62,55,Pandanus amaryllifolius
24.4,5,57,45,Neomarica longifolia
25.6,8,88,30,Sorghum halepense
6.4,12,56,60,Pandanus amaryllifolius
38.4,6,98,40,Neomarica longifolia
27.8,9,90,25,Sorghum halepense
12.4,15,65,55,Pandanus amaryllifolius
27.3,9,67,35,Neomarica longifolia
18.4,8,96,20,Sorghum halepense
8.9,17,58,50,Pandanus amaryllifolius
25.9,7,78,40,Neomarica longifolia
29.1,9,93,30,Sorghum halepense
9.4,13,68,60,Pandanus amaryllifolius
22.8,10,59,45,Neomarica longifolia
19.7,9,94,25,Sorghum halepense
7.9,12,46,55,Pandanus amaryllifolius
27.3,5,59,35,Neomarica longifolia
22.7,8,95,30,Sorghum halepense
6.9,17,57,50,Pandanus amaryllifolius
25.6,6,94,40,Neomarica longifolia
18.7,9,95,20,Sorghum halepense
9.1,15,37,60,Pandanus amaryllifolius
22.4,7,86,35,Neomarica longifolia
19.5,9,98,25,Sorghum halepense
7.4,11,42,50,Pandanus amaryllifolius
19.6,6,75,45,Neomarica longifolia
20.4,9,78,30,Sorghum halepense
8.5,16,52,40,Pandanus amaryllifolius
14.8,8,89,35,Neomarica longifolia
17.5,5,89,25,Sorghum halepense
11.2,15,42,60,Pandanus amaryllifolius
27.8,7,85,40,Neomarica longifolia
25.5,5,94,25,Sorghum halepense
12.5,13,37,55,Pandanus amaryllifolius
34.6,6,56,45,Neomarica longifolia
19.3,6,96,30,Sorghum halepense
9.8,15,34,55,Pandanus amaryllifolius
38.5,8,90,40,Neomarica longifolia
16.4,9,98,20,Sorghum halepense
11.9,12,48,60,Pandanus amaryllifolius
29.2,9,82,35,Neomarica longifolia
22.3,6,96,25,Sorghum halepense
10.1,10,39,50,Pandanus amaryllifolius
27.6,7,83,45,Neomarica longifolia
24,9,99,30,Sorghum halepense
14.3,10,27,55,Pandanus amaryllifolius
41.2,5,96,40,Neomarica longifolia
17.8,6,95,20,Sorghum halepense
